time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 -33962184.3854 0.0 0.0 0.0 0.0
0.1 -12090719.1051 -33962184.3854 -15415.1076305 -5.19588495431e-05 -0.000459951593396 -1.6221088425e-05
0.2 -13187375.0548 -67303081.8813 263908.040528 7.61995466934e-05 -0.000963794564618 -2.59605696193e-05
0.3 -13694517.6282 -98848666.1819 330253.74095 0.000247539621241 -0.00146446953394 -4.31508296825e-05
0.4 -14392449.3693 -128630434.749 305545.077301 0.000471736560716 -0.0019636702876 -7.10011141949e-05
0.5 -15140799.5564 -156432929.852 323626.090529 0.000758128555288 -0.00245763078763 -0.000108862175353
0.6 -15802882.9761 -182372432.173 221308.918023 0.00109579416044 -0.00294080520991 -0.000153060586128
0.7 -16447421.4059 -206940655.447 88292.4241098 0.00147689413944 -0.00341627286496 -0.000198917493766
0.8 -16960187.0969 -230341081.112 -62811.8301211 0.00190489653857 -0.00388851799682 -0.000244546063595
0.9 -17402766.4884 -252813806.562 -61159.6243989 0.00238716418306 -0.00436041884242 -0.00028881182919
1.0 -17714730.1072 -274525478.595 56122.9615936 0.00292461905058 -0.00483559032472 -0.000334089135551
1.1 -18155169.6396 -295612220.741 126519.912599 0.00350594649567 -0.00530836543395 -0.000383263067016
1.2 -18533296.2584 -316258783.738 82413.5564224 0.00410634160986 -0.0057785845849 -0.000434088057445
1.3 -19021433.4648 -336620435.165 240947.62911 0.00475540295394 -0.00625373871941 -0.000486851518052
1.4 -19514750.6622 -356556735.176 363924.53439 0.00545842789773 -0.00673141215741 -0.000547802630817
1.5 -19914254.826 -375822333.763 463227.073117 0.00621351823827 -0.0072083310589 -0.00061392630767
1.6 -20351007.0127 -394643987.686 585742.30407 0.00701448742719 -0.00768317094304 -0.000682455642377
1.7 -20742149.8018 -413087207.2 679442.712716 0.00783610758147 -0.00815514382021 -0.000747708756411
1.8 -21145104.3936 -430692470.936 605004.094831 0.00865952793342 -0.00861878596927 -0.000818498996776
1.9 -21576303.4609 -447762136.351 532918.663916 0.00948674319716 -0.00907429970567 -0.000888999214636
2.0 -22103318.3376 -464747557.722 446457.57506 0.0103235475447 -0.00952968570263 -0.000957801763581
2.1 -22730588.8769 -481406449.247 546350.276044 0.0111718044236 -0.00998272271843 -0.00101788642058
2.2 -23245395.8656 -497352457.937 526061.334053 0.0120570054963 -0.0104300647793 -0.00108246850542
2.3 -23524372.1243 -512625460.503 609822.862155 0.0130181010157 -0.0108828042263 -0.00114534056693
2.4 -23775375.5643 -526634727.732 802619.801338 0.0140599780138 -0.0113349861485 -0.00122148304099
2.5 -24024600.7907 -540264295.61 1237371.3122 0.015131278435 -0.0117870949445 -0.0012906957285
2.6 -24280392.7449 -553561223.469 1478805.09978 0.0162340381939 -0.0122376066885 -0.00136406587824
2.7 -24591565.9621 -566065381.066 1560360.18504 0.0173783994188 -0.0126759884232 -0.00144732486641
2.8 -24931405.8275 -577856998.704 1638031.01978 0.0185532503956 -0.0131097855284 -0.00153069078994
2.9 -25209350.9158 -589054739.698 1600241.3291 0.019761477317 -0.0135422410179 -0.00161521747932
3.0 -25482800.6275 -599895022.617 1590219.32547 0.0209860809987 -0.0139746445446 -0.00169531956903
3.1 -25856978.4913 -610999884.73 1558738.69679 0.02226219327 -0.0144188868192 -0.00177082245681
3.2 -26207050.0575 -621640480.39 1664917.8186 0.0236097346543 -0.0148656303834 -0.00184644739321
3.3 -26557084.6641 -631696440.856 1725018.07193 0.02500258506 -0.0153062683209 -0.00192804676808
3.4 -26912454.8758 -641418657.612 1718653.92096 0.0264341758581 -0.0157479206412 -0.00202272827014
3.5 -27244363.8914 -650536356.475 1607849.13294 0.0279428301157 -0.0161916882876 -0.00212511183149
3.6 -27510177.8783 -658644868.801 1421981.10269 0.0295179329599 -0.0166304756754 -0.00222953180482
3.7 -27778567.4123 -666924112.704 1035756.68528 0.0311735937463 -0.0170859890717 -0.00232192506382
3.8 -28101327.1848 -673726447.304 1040611.86286 0.0329447478253 -0.0175402352676 -0.00242613660767
3.9 -28430576.7541 -681035934.235 725969.776677 0.0347116280996 -0.0180006658566 -0.0025068101055
4.0 -28703581.7615 -687209591.961 760273.577548 0.0365594480611 -0.0184632360194 -0.00259313284363
4.1 -28847942.9204 -693045035.606 554460.68273 0.0384837157329 -0.0189260482816 -0.00267210702404
4.2 -28969824.6892 -699514568.343 86283.7870136 0.0404751422344 -0.0193973041759 -0.0027494216322
4.3 -29266490.7666 -706050422.288 -609399.904603 0.0425118900716 -0.0198704396225 -0.00280855758941
4.4 -30275118.1316 -712327286.139 -458410.242729 0.0445968204445 -0.0203497956257 -0.00286334435332
4.5 -30634468.5113 -718512958.42 -590670.06989 0.0467285400536 -0.0208209208824 -0.00290089098066
4.6 -30910196.3107 -724515629.922 -689220.267992 0.0489040455747 -0.0212915713385 -0.00294791832045
4.7 -31415303.7221 -729577518.018 -960117.195434 0.0510785320497 -0.0217757762 -0.00297686642486
4.8 -31969478.8583 -734164069.04 -974735.151879 0.05328785833 -0.0222660265503 -0.00300430091518
4.9 -32476775.3366 -738744704.938 -1073552.63239 0.0555604362264 -0.0227747027216 -0.00302753876699
5.0 -33039038.1977 -743139044.488 -1267396.13376 0.0579374719323 -0.0232911591101 -0.0030404413339
