time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 -36155410.5226 0.0 0.0 0.0 0.0
0.1 -21279696.8977 -36155410.5226 14310.5305666 -0.000183068250453 -0.000456702895849 -1.87653484839e-05
0.2 -22756878.2029 -70197892.8466 -12475.0730651 -7.5809722649e-05 -0.000958632745483 -3.10459036284e-05
0.3 -23111548.2844 -103232521.942 207761.721888 5.82998108699e-05 -0.00145902138243 -4.11180476605e-05
0.4 -23453328.1059 -135429816.964 407975.17369 0.000212640436333 -0.00196061273578 -5.54832967028e-05
0.5 -23681348.08 -166581126.78 369228.534088 0.000392536544605 -0.00246077746744 -7.53031810546e-05
0.6 -24166571.9489 -196591858.586 395424.311801 0.000606084676831 -0.00295892962269 -9.98364851032e-05
0.7 -24688067.5427 -225384569.918 504423.144127 0.000865311196135 -0.0034592627629 -0.00013227646785
1.6 -29565660.632 -448615160.134 -190160.214526 0.00515496012518 -0.00780193289413 -0.000485371833478
1.8 -30146360.9449 -492018182.195 -106162.388591 0.00646824199322 -0.00876280093881 -0.00058207713825
2.0 -30906950.6982 -534070639.005 93394.3617107 0.00786230295236 -0.00969743222849 -0.000678609165624
2.2 -31904157.4482 -575230076.1 291978.94357 0.00938531370502 -0.0106567146403 -0.00078944522704
2.4 -32481164.4788 -613524660.006 520007.562567 0.011127670929 -0.0116189273357 -0.000913622178006
2.6 -33214295.5333 -650966596.156 985199.867333 0.0129427418517 -0.0125761414253 -0.00104633352121
2.8 -33742198.7923 -685707830.841 1012666.01151 0.014969765348 -0.0135350591588 -0.00119307463564
3.0 -34382844.6004 -719646642.448 980563.222985 0.0169777009145 -0.0144757253998 -0.00133328450426
3.2 -35056165.7701 -751968474.266 915643.533531 0.0189679271213 -0.0153865657734 -0.00147940003561
3.4 -35849609.0919 -783270561.056 1048028.09884 0.0209951647791 -0.0162846869088 -0.00162793034635
3.6 -36762508.6107 -812536866.606 650079.623868 0.0231445654044 -0.0171834359741 -0.00176493964486
3.8 -37586207.8127 -838741922.28 768000.972066 0.0254928677576 -0.0180845621502 -0.00189274254519
4.0 -38290408.9824 -861295123.14 849402.98691 0.0281461363848 -0.0190031745932 -0.00205200207379
4.2 -38532081.4008 -883698670.015 1434285.33012 0.030757835953 -0.0199017901034 -0.00218049419299
4.4 -38785318.6055 -904909540.474 1647389.0189 0.0336126433676 -0.020824157579 -0.00235825981483
4.6 -39258366.9072 -926349915.172 1672936.28053 0.0364879596239 -0.0217395526048 -0.00251634252934
4.8 -40142066.7598 -946047322.766 1209722.5301 0.0396077407833 -0.0226742531507 -0.00265862473045
5.0 -41018383.6441 -963754935.225 1105780.15474 0.0428282254091 -0.0235930594751 -0.00277118924293
5.2 -42114306.6641 -978242813.995 706619.315791 0.046198655276 -0.0244806382064 -0.00287784589574
5.4 -44032409.4094 -989985998.548 898962.29737 0.0497896065365 -0.0253479860242 -0.00292912080896
5.6 -44891580.7736 -1000183663.65 -605571.738087 0.0535448574907 -0.026166329787 -0.0029429862332
5.8 -46313897.2149 -1005370292.42 -1669222.23809 0.0575655520683 -0.0269649856648 -0.00291000875614
6.0 -49073047.6802 -1006030864.44 -2697049.41081 0.0620128148937 -0.027778352535 -0.00284256348537
6.2 -50811093.0473 -1004843722.25 -3037339.26437 0.0669952537062 -0.0285928924356 -0.00275236713191
6.4 -53279240.5696 -1001011323.21 -5217236.84311 0.0722354532117 -0.0294580949009 -0.00252620856185
6.6 -56346603.5888 -996827338.266 -7638950.46389 0.0777093740682 -0.0303102701656 -0.00214582007163
6.8 -56346603.5888 -996827338.266 -7638950.46389 0.0777093740682 -0.0303102701656 -0.00214582007163
7.0 -56346603.5888 -996827338.266 -7638950.46389 0.0777093740682 -0.0303102701656 -0.00214582007163
7.2 -56346603.5888 -996827338.266 -7638950.46389 0.0777093740682 -0.0303102701656 -0.00214582007163
