time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 -2439817.83099 0.0 0.0 0.0 0.0
0.2 -4929036.39139 -2439817.83099 -14891.8743155 -0.000335130720813 -0.020202707317519355 -1.00387633613e-05
0.4 -4944873.46836 -2252302.42246 2963.38593594 -0.000346942486923 -0.04082199452025494 -7.43070335874e-06
0.6 -4938983.48695 -2078889.28407 6334.94881893 -0.000358368439993 -0.06187540371808729 -6.04245501275e-06
0.8 -4935373.70528 -1902228.40615 11511.1405716 -0.000369358537919 -0.08338160893905078 -4.91852666248e-06
1.0 -4935343.39205 -1714230.36994 13237.2860435 -0.000380254286362 -0.1053605156578259 -4.18553842934e-06
1.2 -4930377.50178 -1559442.37957 6716.46958148 -0.00039152919933 -0.12783337150988439 -3.65902968313e-06
1.4 -4929763.25039 -1393058.04554 5351.65391074 -0.000402711885261 -0.150822889734583 -2.19256917671e-06
1.6 -4927761.35917 -1244240.8873 6893.38905989 -0.000413005561124 -0.17435338714477713 -1.65115357826e-06
1.8 -4936025.33838 -1129930.13869 -2726.06105421 -0.000423831863024 -0.1984509387238375 -3.84699593755e-07
2.0 -4936244.19615 -951549.138275 -825.1604075 -0.000434753881812 -0.22314355131420888 7.54319961384e-07
2.2 -4929741.68594 -854034.201166 19582.1015475 -0.000446144280728 -0.24846135929849875 1.50679263739e-06
2.4 -4918788.82916 -760983.65311 18616.5607447 -0.000457829162186 -0.2744368457017594 2.87426928649e-06
2.6 -4919657.72006 -703809.219496 4114.03098613 -0.000472703018543 -0.3011050927839207 3.24465023329e-06
2.8 -4915913.98153 -588808.541 4316.31515177 -0.00048435252784 -0.32850406697203516 5.37216099838e-06
3.0 -4912363.9964 -540285.922947 21002.5046351 -0.000495000990766 -0.3566749439387315 1.09698037617e-05
3.2 -4897004.49342 -425226.028949 10618.950126 -0.000504874984963 -0.3856624808119838 1.05530368191e-05
3.4 -4890275.63161 -415733.191314 20668.5590227 -0.000517029481053 -0.4155154439616648 1.00628038431e-05
3.6 -4879754.77899 -319014.840447 2913.4794262 -0.000526972858258 -0.4462871026284185 9.31805976549e-06
3.8 -4879710.08423 -302392.328419 2993.43605794 -0.000538912929394 -0.47803580094299875 1.1307583856e-05
4.0 -4895627.00417 -285096.184856 11756.1289431 -0.00054960163262 -0.5108256237659896 1.35624503012e-05
4.2 -4883275.8684 -212395.0663 -4418.43960183 -0.000559187259812 -0.5378542961539089 1.478862166e-05
4.4 -4891903.88963 -218265.361213 7741.50060454 -0.000567388967961 -0.5586162876023381 1.92325906369e-05
4.6 -4896415.18632 -163276.484586 5984.75375422 -0.000573247079905 -0.572701027484077 1.95606298637e-05
4.8 -4903826.33557 -132418.630436 5377.87336502 -0.000577135929007 -0.579818495252941 1.98311998698e-05
5.0 -4910606.71648 -150925.122265 10938.8913167 -0.000578794114444 -0.579818495252941 1.91475486324e-05
5.2 -4917408.0307 -163859.488045 9806.37453784 -0.000578209149284 -0.572701027484077 1.87785462156e-05
5.4 -4926958.79179 -202060.793287 9816.10046394 -0.000575603354218 -0.5586162876023381 1.840693996e-05
5.6 -4937366.07143 -264002.08647 10178.2569414 -0.000570859331075 -0.5378542961539091 1.78676045691e-05
5.8 -4948430.89445 -348943.53585 10542.4250378 -0.000563970905403 -0.5108256237659898 1.71143409944e-05
6.0 -4960418.52098 -457866.800909 11771.3583532 -0.000554915631644 -0.4780358009429989 1.62342598884e-05
6.2 -4965960.12377 -575581.842592 12229.5462465 -0.000544312625116 -0.44628710262841864 1.5172888423e-05
6.4 -4969555.18432 -692994.976633 12964.7501691 -0.000533531258505 -0.41551544396166495 1.41284211646e-05
6.6 -4972922.86888 -810024.664681 13276.5048632 -0.000522738613512 -0.38566248081198395 1.30320856177e-05
6.8 -4976481.99565 -927392.445798 13651.4059546 -0.000511953083213 -0.35667494393873167 1.19393668202e-05
7.0 -4979684.093 -1044807.5718 13723.7967777 -0.000501154041779 -0.3285040669720353 1.08110649233e-05
7.2 -4983308.97454 -1162583.15475 13897.5842617 -0.000490381306853 -0.3011050927839209 9.695209447e-06
